xi              mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       Iflag     gamma1          gamma2          Hmax        x1          x2          dx1         dx2         mu             p            q            delta        ms           alpha_v      kappa_BP       lambda_BP   Omega_star   E           x_SM        x_A
0.204336        0.05331        0.06135        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05943        2.552        4.927        0.980        0.622        0.244        0.92621        3.08        0.860        2.69        2.65        0.00
0.204336        0.05384        0.06221        2.824        2.824        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05384        2.824        5.750        0.980        0.655        0.232        1.03370        3.03        0.847        2.55        2.45        0.00
0.204336        0.07379        0.08504        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07379        1.462        2.463        0.983        0.397        0.272        0.52231        3.13        0.916        2.99        3.95        0.00
0.204336        0.92791        1.08418        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.99628        1.734        0.727        0.888        1.731        0.998        0.14494        2.89        0.815        2.18        1.89        0.00
0.204336        0.05694        0.06306        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05694        1.462        2.808        0.984        0.349        0.239        0.57163        3.11        0.917        2.98        5.16        0.00
0.204336        0.05322        0.06219        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06219        2.279        4.283        0.980        0.568        0.249        0.83147        3.11        0.874        2.80        4.00        0.00
0.137382        0.07506        0.08086        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07506        1.462        2.441        0.982        0.401        0.274        0.34828        4.18        0.916        4.92        4.17        0.00
0.137382        0.07828        0.08583        1.734        1.734        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07828        1.734        2.864        0.981        0.485        0.280        0.40262        4.21        0.901        4.87        4.02        0.00
0.137382        0.01498        0.01747        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.01602        3.369       12.719        0.985        0.426        0.127        1.35249        3.84        0.827        3.82        2.72        0.00
0.137382        0.05249        0.05748        3.097        3.097        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05600        3.097        6.193        0.978        0.733        0.237        0.73407        4.06        0.832        4.19        2.49        0.00
0.137382        0.05684        0.06307        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06307        2.552        4.779        0.979        0.641        0.251        0.61014        4.16        0.860        4.54        3.71        0.00
0.137382        0.07478        0.08481        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07478        2.007        3.416        0.980        0.549        0.273        0.46737        4.21        0.887        4.79        3.60        0.00
0.137382        0.07304        0.08528        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07304        2.279        3.945        0.979        0.616        0.270        0.52645        4.20        0.873        4.68        3.33        0.00
0.137382        0.00609        0.00625        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00609        3.914       24.111        0.987        0.305        0.078        2.31029        3.29        0.805        2.82        2.56        0.00
0.137382        0.00306        0.00346        3.914        3.914        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.00310        3.914       33.798        0.987        0.218        0.056        3.26786        3.32        0.806        2.87        2.61        0.00
0.137382        0.07438        0.08253        2.552        2.552        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07438        2.552        4.393        0.977        0.696        0.273        0.57328        4.18        0.858        4.54        3.21        0.00
0.092367        0.07260        0.08096        2.007        2.007        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07260        2.007        3.467        0.980        0.541        0.269        0.31696        5.80        0.887        7.61        4.11        0.00
0.092367        0.05713        0.05975        3.369        3.369        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.05758        3.369        6.650        0.976        0.808        0.240        0.51886        5.58        0.818        6.59        2.55        0.00
0.092367        0.07334        0.08637        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07334        2.279        3.936        0.978        0.617        0.271        0.35289        5.79        0.873        7.46        3.81        0.00
0.092367        0.05234        0.06053        2.279        2.279        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.06053        2.279        4.340        0.980        0.561        0.246        0.37877        5.78        0.874        7.45        4.65        0.00
0.092367        0.07852        0.08615        1.462        1.462        0.10        1.0        1.0        1.0        0.0       -3.0       -3.0       -3.0       -3.0         2        1.000000        1.000000        0.20        0.30       10.00        0.20        2.00        0.07852        1.462        2.386        0.982        0.410        0.280        0.23010        5.75        0.915        7.79        4.49        0.00
