xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.091030        1.45690        0.816        1.425775        1.674702        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.53        2.41        0.90        1.970        1.635        7.16     -110.67        8.16        1.05         0        1.44        2.16        2.33        0.00        0.00        0.77        0.1122        5.23        5.62        7.5        0.0        0.000        0.00        0.00        2.61        2.64        2.6        0.45        1.11       -0.48        1.10
0.091030        1.45320        0.816        1.347961        1.460264        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.53        2.41        0.90        1.967        1.633        7.16     -109.38        8.16        1.05         0        1.44        2.18        2.34        0.00        0.00        0.77        0.1124        5.23        5.63        7.5        0.0        0.000        0.00        0.00        2.61        2.64        2.6        0.45        1.10       -0.48        1.10
0.091030        1.15170        0.898        1.140497        1.319218        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.68        2.15        0.91        1.927        1.684        7.98      -35.15        8.98        0.94         0        1.38        2.00        2.13        0.00        0.00        0.76        0.1356        5.34        5.73        7.9        0.0        0.000        0.00        0.00        2.64        2.03        2.0        0.47        1.25       -0.60        1.12
0.071969        1.71300        0.816        1.713012        1.782487        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.48        2.62        0.88        2.136        1.732        7.16     -226.32        8.16        1.05         0        1.46        2.04        2.36        0.00        0.00        0.76        0.0804        6.26        7.06       10.1        0.0        0.000        0.00        0.00        2.71        3.85        3.8        0.43        1.08       -0.43        1.10
0.071969        1.29130        0.898        1.291303        1.375440        0.898        0.898        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.63        2.27        0.90        2.041        1.750        7.98      -39.01        8.98        0.94         0        1.40        2.00        2.21        0.00        0.00        0.76        0.1000        6.43        7.32       10.1        0.0        0.000        0.00        0.00        2.92        2.70        2.7        0.46        1.21       -0.56        1.11
0.071969        1.57000        0.816        1.487900        1.619310        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.51        2.51        0.89        2.045        1.676        7.16     -122.96        8.16        1.05         0        1.46        2.05        2.44        0.00        0.00        0.76        0.0848        6.33        7.24        9.4        0.0        0.000        0.00        0.00        2.77        3.85        3.9        0.45        1.06       -0.46        1.10
0.071969        2.19020        0.653        2.180531        2.257960        0.653        0.653        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.33        2.96        0.88        1.933        1.453        5.53       29.77        6.53        1.36         0        1.59        2.14        2.95        0.00        0.00        0.78        0.0619        6.14        7.16        8.5        0.0        0.000        0.00        0.00        1.84        2.13        2.1        0.44        0.81       -0.32        1.08
0.071969        1.94690        0.735        1.946890        2.008878        0.735        0.735        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.40        2.79        0.88        2.051        1.600        6.35       81.25        7.35        1.18         0        1.53        2.09        2.59        0.00        0.00        0.77        0.0707        6.19        7.10        9.4        0.0        0.000        0.00        0.00        2.19        2.88        2.9        0.44        0.96       -0.38        1.09
0.071969        2.44890        0.571        2.315645        2.582115        0.571        0.571        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.27        3.13        0.88        1.787        1.291        4.71       16.54        5.71        1.59         0        1.66        2.22        3.37        0.00        0.00        0.80        0.0538        6.07        7.22        8.0        0.0        0.000        0.00        0.00        1.60        1.56        1.6        0.45        0.67       -0.27        1.06
0.056899        1.67620        0.816        1.633197        1.805322        0.816        0.816        0.10        2.0        1.0        1.0        1.0        -2.0       -2.0       -2.0       -2.0        0.49        2.59        0.89        2.113        1.709        7.16     -125.57        8.16        1.05         0        1.49        2.05        2.57        0.00        0.00        0.76        0.0644        7.70        9.27       11.5        0.0        0.000        0.00        0.00        2.69        3.99        4.0        0.44        1.02       -0.44        1.10
