xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.115140        0.05840        0.816        0.053784        0.061868        0.816        0.816        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.88        0.48        0.97        0.394        0.275        7.16      -64.36        8.16        1.05         1        2.41        2.84        3.11        0.00        0.00        0.83        0.8612        4.70        5.31        7.8        0.0        0.000        0.00        0.00        1.98        1.38        1.4        0.61        1.69       -3.26        1.41
0.115140        0.05880        0.816        0.058774        0.064426        0.816        0.816        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        2.87        0.48        0.97        0.396        0.276        7.16      -99.91        8.16        1.05         1        2.41        2.85        3.08        0.00        0.00        0.83        0.8590        4.70        5.31        8.0        0.0        0.000        0.00        0.00        2.01        1.41        1.4        0.61        1.69       -3.26        1.41
0.115140        7.47740        0.163        7.366048        7.811318        0.163        0.163        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.02        5.47        0.77        0.891        0.910        0.63       29.22        1.63       11.90         0        2.04        2.86        3.09        0.00        0.00        0.76        0.0587        3.62        3.11        4.6        0.0        0.000        0.00        0.00        2.18        1.88        1.9        0.29        1.07       -0.15        1.17
0.115140        4.33590        0.408        4.260053        4.866585        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.11        4.16        0.77        1.699        1.393        3.08      -15.85        4.08        2.44         0        1.83        2.51        2.61        0.00        0.00        0.72        0.1046        3.80        3.16        4.8        0.0        0.000        0.00        0.00        2.30        1.34        1.3        0.29        1.44       -0.29        1.20
0.115140        6.02780        0.245        5.599140        6.089029        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.05        4.91        0.77        1.203        1.080        1.45      -91.05        2.45        5.17         0        1.96        2.78        2.91        0.00        0.00        0.74        0.0742        3.70        3.16        4.6        0.0        0.000        0.00        0.00        2.23        1.61        1.6        0.29        1.20       -0.20        1.18
0.115140        6.34340        0.245        6.343364        7.097322        0.245        0.245        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.04        5.04        0.76        1.234        1.110        1.45      -87.94        2.45        5.17         0        1.96        2.60        2.85        0.00        0.00        0.73        0.0726        3.66        3.05        4.9        0.0        0.000        0.00        0.00        2.23        1.60        1.6        0.28        1.22       -0.20        1.18
0.115140        5.10950        0.327        5.011533        5.403529        0.327        0.327        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.08        4.52        0.76        1.478        1.249        2.27      -24.27        3.27        3.30         0        1.89        2.59        2.72        0.00        0.00        0.73        0.0890        3.75        3.14        4.8        0.0        0.000        0.00        0.00        2.27        1.45        1.5        0.29        1.33       -0.25        1.19
0.091030        4.47830        0.408        4.241603        4.998961        0.408        0.408        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        0.11        4.23        0.76        1.727        1.414        3.08      -14.80        4.08        2.44         0        1.85        2.53        2.64        0.00        0.00        0.71        0.0815        4.56        4.19        6.1        0.0        0.000        0.00        0.00        2.53        1.62        1.6        0.30        1.43       -0.29        1.20
0.091030        0.05390        0.980        0.050879        0.056695        0.980        0.980        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.69        0.46        0.97        0.455        0.338        8.80       -6.98        9.80        0.85         1        2.38        2.79        2.88        0.00        0.00        0.80        0.8134        5.68        6.64       10.1        0.0        0.000        0.00        0.00        2.58        1.37        1.4        0.57        2.44       -3.92        1.58
0.091030        0.06080        0.898        0.060755        0.064600        0.898        0.898        0.10        2.0        1.0        1.0        4.0       -2.0       -2.0       -2.0       -2.0        3.15        0.49        0.97        0.443        0.316        7.98      -18.20        8.98        0.94         1        2.43        2.84        3.04        0.00        0.00        0.82        0.7248        5.70        6.82       10.2        0.0        0.000        0.00        0.00        2.12        1.45        1.4        0.60        1.87       -3.51        1.46
