xi              mu             p            mu_min          mu_max          p_min        p_max         ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
3.088844        1.50300        1.102        1.446875        1.559185        1.102        1.102         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.44        1.23        0.99        1.351        0.941      109.20       50.51      110.20        2.75         0        1.06        2.26        2.47        0.00        0.00        0.99        1.3156        1.15       -0.70        0.3        0.0        0.000        0.00        0.00        1.08        0.11        0.1        1.00        0.84       -0.17        0.98
3.088844        1.32100        1.286        1.294981        1.420861        1.286        1.286         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        0.55        1.15        0.99        1.478        1.063      127.60       54.10      128.60        2.35         0        1.00        2.14        2.19        0.00        0.00        0.99        1.5684        1.15       -0.70        0.3        0.0        0.000        0.00        0.00        1.08        0.09        0.1        1.00        0.94       -0.20        0.98
3.088844        0.05280        1.837        0.052726        0.055221        1.837        1.837         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.97        0.23        1.00        0.422        0.146      182.70       53.70      183.70        1.64         1        2.05        2.56        2.99        0.00        0.00        0.99        9.4255        1.15       -0.69        0.3        0.0        0.000        0.00        0.00        1.08        0.08        0.1        1.01        1.37       -1.34        1.01
3.088844        0.05270        2.204        0.052680        0.057779        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.78        0.23        1.00        0.506        0.179      219.40       54.26      220.40        1.37         1        2.03        2.53        2.65        0.00        0.00        0.99       10.9712        1.15       -0.70        0.3        0.0        0.000        0.00        0.00        1.08        0.06        0.1        1.01        1.82       -1.62        1.03
3.088844        0.05270        2.020        0.049201        0.054595        2.020        2.020         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.38        0.23        1.00        0.464        0.162      201.00       54.40      202.00        1.49         1        2.04        2.55        2.82        0.00        0.00        0.99       10.2338        1.15       -0.70        0.3        0.0        0.000        0.00        0.00        1.08        0.07        0.1        1.01        1.60       -1.47        1.02
3.088844        0.05180        1.653        0.051005        0.056978        1.653        1.653         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.61        0.23        1.00        0.376        0.128      164.30       52.85      165.30        1.83         1        2.05        2.55        3.25        0.00        0.00        0.99        8.6224        1.15       -0.69        0.3        0.0        0.000        0.00        0.00        1.05        0.08        0.1        1.01        1.11       -1.19        1.00
3.088844        0.04980        2.388        0.048967        0.056532        2.388        2.388         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.33        0.22        1.00        0.533        0.187      237.80       55.88      238.80        1.26         1        2.00        2.50        2.55        0.00        0.00        0.99       11.8329        1.15       -0.70        0.3        0.0        0.000        0.00        0.00        1.08        0.05        0.1        1.01        2.17       -1.69        1.03
2.442053        0.05400        2.204        0.047742        0.054374        2.204        2.204         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.72        0.23        1.00        0.512        0.182      219.40       76.33      220.40        1.37         1        2.06        2.54        2.83        0.00        0.00        0.99        8.6633        1.19       -0.61        0.4        0.0        0.000        0.00        0.00        1.10        0.08        0.1        1.02        1.67       -1.60        1.02
2.442053        0.05110        2.571        0.051020        0.054257        2.571        2.571         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.66        0.23        1.00        0.581        0.208      256.10       91.93      257.10        1.17         1        2.02        2.50        2.58        0.00        0.00        0.99        9.8456        1.19       -0.62        0.4        0.0        0.000        0.00        0.00        1.10        0.06        0.1        1.02        2.22       -1.81        1.03
2.442053        0.05290        2.388        0.052319        0.055263        2.388        2.388         0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        5.16        0.23        1.00        0.549        0.197      237.80       80.37      238.80        1.26         1        2.04        2.53        2.70        0.00        0.00        0.99        9.2618        1.19       -0.62        0.4        0.0        0.000        0.00        0.00        1.10        0.07        0.1        1.02        1.92       -1.71        1.03
