xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.169387        0.08650        2.316        0.08227        0.09699        2.185        2.359        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0        3.67        0.29        0.97        0.681        0.210       22.16       36.68       23.16        1.35         1        2.22        2.63        3.29        8.84        1.15        0.867        0.5113        3.34        4.14        4.4        1.5        0.391        1.96        1.74        2.19        2.67        2.7        0.54        1.18       -1.18        1.28
0.169387        0.00090        2.626        0.00083        0.00094        2.514        2.737        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       41.89        0.03        0.99        0.078        0.023       25.25      -17.97       26.25        1.19         6        3.01        3.19        3.20        3.77        1.09        0.866        5.0277        3.21        3.09        5.3        0.2        0.081        1.92        0.72    16860.79   492387.40  3169173.0        0.48        6.36      -11.57        2.96
0.153670        0.00270        3.055        0.00261        0.00286        2.905        3.204        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       27.96        0.05        0.99        0.159        0.047       29.55       18.88       30.55        1.02         4        2.86        3.07        3.14        3.96        1.11        0.846        2.9369        3.42        3.43        5.5        0.2        0.120        2.00        0.79     1927.01    77059.43   893779.3        0.45        4.75       -7.34        2.40
0.153670        0.00270        2.817        0.00239        0.00281        2.798        2.836        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       25.99        0.05        0.99        0.145        0.042       27.17        7.57       28.17        1.10         4        2.89        3.10        3.22        4.17        1.11        0.857        2.8017        3.50        3.62        5.8        0.1        0.078        2.02        0.84     2099.55    89150.89  1111026.0        0.49        4.01       -7.24        2.20
0.153670        0.00270        2.822        0.00255        0.00285        2.641        3.003        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       26.03        0.05        0.99        0.146        0.043       27.22        7.91       28.22        1.10         4        2.89        3.10        3.20        4.18        1.11        0.857        2.8046        3.50        3.62        5.8        0.1        0.049        2.02        0.84     2056.68    86971.67  1074917.0        0.49        4.02       -7.26        2.21
0.153670        0.00150        2.755        0.00136        0.00149        2.579        2.931        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       34.22        0.04        0.99        0.106        0.031       26.55       13.90       27.55        1.13         5        2.97        3.16        3.23        3.98        1.10        0.860        3.7068        3.48        3.55        5.8        0.1        0.035        2.01        0.80     6803.15   199418.00  1674467.0        0.49        5.03       -9.54        2.54
0.153670        0.00150        2.971        0.00139        0.00151        2.713        3.008        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       36.64        0.04        0.99        0.115        0.034       28.71       12.14       29.71        1.04         5        2.93        3.13        3.15        3.80        1.10        0.850        3.8775        3.40        3.36        5.6        0.1        0.038        2.00        0.76     5832.86   157366.90  1246610.0        0.44        5.93       -9.66        2.79
0.153670        0.00090        2.788        0.00089        0.00097        2.668        2.907        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       44.00        0.03        0.99        0.084        0.025       26.88      -17.64       27.88        1.12         6        3.01        3.19        3.20        3.77        1.10        0.859        4.7400        3.42        3.42        5.7        0.0        0.004        2.00        0.75    13088.89   218247.90  1297357.0        0.46        6.66      -11.93        3.05
0.153670        0.00150        2.998        0.00148        0.00168        2.831        3.164        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       36.93        0.04        0.99        0.116        0.034       28.98     -646.31       29.98        1.04         5        2.93        3.12        3.14        3.78        1.10        0.849        3.8969        3.38        3.34        5.6        0.3        0.136        1.98        0.75     6282.86   177401.50  1399346.0        0.44        6.05       -9.66        2.82
0.153670        0.00150        2.951        0.00133        0.00151        2.543        2.964        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       36.42        0.04        0.99        0.114        0.033       28.51      -57.70       29.51        1.05         5        2.94        3.13        3.16        3.82        1.11        0.851        3.8629        3.40        3.38        5.6        0.2        0.116        1.99        0.76     6413.51   180708.40  1440469.0        0.45        5.86       -9.64        2.77
0.153670        0.00150        2.892        0.00146        0.00163        2.799        2.985        0.10        1.0        1.0        1.0        1.0       -2.0       -2.0       -2.0       -2.0       35.76        0.04        0.99        0.111        0.033       27.92      591.18       28.92        1.07         5        2.95        3.14        3.18        3.86        1.10        0.854        3.8180        3.43        3.44        5.7        0.3        0.136        2.00        0.77     6849.55   199193.90  1603835.0        0.46        5.60       -9.62        2.70
