xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
1.309013        0.00760        1.100        0.00755        0.00832        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.68        0.09        0.99        0.096        0.016       10.00        1.62       11.00        3.00         3        2.84        3.07        3.41        0.00        0.00        0.940        4.5599        1.16        0.91        0.3        0.0        0.000        0.00        0.00        1.11        0.41        0.4        2.00        1.59       -0.60        1.47
1.309013        0.00310        0.900        0.00308        0.00319        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.14        0.06        0.99        0.050        0.010        8.00        2.03        9.00        3.75         4        2.99        3.16        3.45        0.00        0.00        0.952        6.3364        1.19        0.50        0.4        0.0        0.000        0.00        0.00        1.12        0.42        0.4        1.88        1.85       -1.18        1.58
1.309013        0.00310        1.100        0.00309        0.00336        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.92        0.06        0.99        0.061        0.012       10.00        2.01       11.00        3.00         4        2.93        3.16        3.26        0.00        0.00        0.942        7.4085        1.16        0.47        0.4        0.0        0.000        0.00        0.00        1.11        0.38        0.4        1.89        2.65       -1.40        1.81
1.309013        0.00310        1.200        0.00306        0.00359        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.86        0.06        0.99        0.066        0.012       11.00        1.88       12.00        2.73         4        2.89        3.13        3.19        0.00        0.00        0.937        7.8987        1.14        0.43        0.4        0.0        0.000        0.00        0.00        1.10        0.37        0.4        1.97        3.17       -1.33        1.96
1.309013        0.00710        0.800        0.00713        0.00806        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        4.10        0.08        0.99        0.068        0.012        7.00        1.49        8.00        4.29         3        2.83        3.05        3.76        0.00        0.00        0.956        3.6600        1.18        0.89        0.3        0.0        0.000        0.00        0.00        1.11        0.47        0.5        2.00        0.83       -0.55        1.23
1.309013        0.00750        1.000        0.00742        0.00833        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.15        0.09        0.99        0.086        0.014        9.00        1.61       10.00        3.33         3        2.84        3.06        3.51        0.00        0.00        0.945        4.2819        1.17        0.91        0.3        0.0        0.000        0.00        0.00        1.11        0.42        0.4        1.98        1.32       -0.57        1.38
1.309013        0.00770        1.200        0.00697        0.00770        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.22        0.09        0.99        0.105        0.017       11.00        1.49       12.00        2.73         3        2.82        3.07        3.34        0.00        0.00        0.935        4.8246        1.14        0.89        0.2        0.0        0.000        0.00        0.00        1.10        0.39        0.4        2.04        1.86       -0.54        1.54
1.309013        0.00770        1.300        0.00699        0.00819        1.300        1.300        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.75        0.09        0.99        0.114        0.018       12.00        1.35       13.00        2.50         3        2.81        3.06        3.27        0.00        0.00        0.930        5.0408        1.12        0.86        0.2        0.0        0.000        0.00        0.00        1.10        0.38        0.4        2.10        2.13       -0.57        1.62
1.309013        0.00780        1.100        0.00775        0.00900        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.62        0.09        0.99        0.097        0.016       10.00        1.60       11.00        3.00         3        2.86        3.07        3.40        0.00        0.00        0.940        4.5098        1.16        0.92        0.3        0.0        0.000        0.00        0.00        1.11        0.41        0.4        2.02        1.58       -0.75        1.47
1.309013        0.00310        1.000        0.00296        0.00338        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.03        0.06        0.99        0.056        0.011        9.00        2.03       10.00        3.33         4        2.96        3.17        3.35        0.00        0.00        0.947        6.8930        1.18        0.49        0.4        0.0        0.000        0.00        0.00        1.11        0.40        0.4        1.87        2.25       -1.31        1.69
1.187559        0.00160        0.900        0.00159        0.00163        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.95        0.04        0.99        0.036        0.008        8.00        2.30        9.00        3.75         5        3.07        3.24        3.40        0.00        0.00        0.952        8.3701        1.22        0.33        0.6        0.0        0.000        0.00        0.00        1.13        0.41        0.4        2.39        2.48       -2.15        1.80
1.187559        0.00310        0.900        0.00304        0.00318        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.15        0.06        0.99        0.050        0.010        8.00        2.08        9.00        3.75         4        2.99        3.16        3.50        0.00        0.00        0.951        5.9486        1.22        0.57        0.4        0.0        0.000        0.00        0.00        1.13        0.43        0.4        2.46        1.75       -1.27        1.55
1.187559        0.00300        1.300        0.00266        0.00316        1.300        1.300        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       10.82        0.05        0.99        0.071        0.013       12.00        2.09       13.00        2.50         4        2.86        3.13        3.15        0.00        0.00        0.931        7.9240        1.16        0.47        0.3        0.0        0.000        0.00        0.00        1.11        0.37        0.4        2.67        3.57       -1.27        2.06
1.187559        0.00300        0.800        0.00294        0.00330        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.30        0.06        0.99        0.044        0.009        7.00        1.93        8.00        4.29         4        3.00        3.15        3.62        0.00        0.00        0.956        5.4140        1.22        0.56        0.4        0.0        0.000        0.00        0.00        1.13        0.46        0.5        2.50        1.36       -1.08        1.42
1.187559        0.00160        1.000        0.00136        0.00161        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       11.25        0.04        0.99        0.040        0.008        9.00        2.43       10.00        3.33         5        3.02        3.23        3.31        0.00        0.00        0.947        9.1722        1.21        0.31        0.5        0.0        0.000        0.00        0.00        1.13        0.40        0.4        2.40        3.13       -2.19        1.99
1.187559        0.00060        0.800        0.00055        0.00060        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       14.18        0.02        0.99        0.020        0.005        7.00        2.57        8.00        4.29         7        3.19        3.35        3.42        0.00        0.00        0.958       12.3462        1.22        0.05        0.6        0.0        0.000        0.00        0.00        1.12        0.40        0.4        2.40        3.60       -3.22        2.19
1.187559        0.00160        0.800        0.00155        0.00165        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.71        0.04        0.99        0.032        0.007        7.00        2.20        8.00        4.29         5        3.11        3.23        3.50        0.00        0.00        0.957        7.5612        1.23        0.33        0.5        0.0        0.000        0.00        0.00        1.13        0.43        0.4        2.43        2.04       -1.84        1.66
1.187559        0.00150        1.100        0.00140        0.00160        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       12.60        0.04        0.99        0.043        0.009       10.00        2.76       11.00        3.00         5        2.97        3.21        3.22        0.00        0.00        0.942        9.9329        1.19        0.27        0.4        0.0        0.000        0.00        0.00        1.12        0.38        0.4        2.47        3.91       -2.09        2.21
1.187559        0.00090        0.900        0.00085        0.00093        0.900        0.900        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       13.05        0.03        0.99        0.027        0.006        8.00        2.52        9.00        3.75         6        3.10        3.29        3.35        0.00        0.00        0.952       10.9950        1.21        0.15        0.5        0.0        0.000        0.00        0.00        1.13        0.40        0.4        2.40        3.56       -2.68        2.15
1.187559        0.00090        0.800        0.00086        0.00098        0.800        0.800        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0       11.35        0.03        0.99        0.024        0.006        7.00        2.30        8.00        4.29         6        3.16        3.30        3.45        0.00        0.00        0.957        9.8936        1.22        0.17        0.6        0.0        0.000        0.00        0.00        1.13        0.42        0.4        2.38        2.77       -2.50        1.91
1.187559        0.00310        1.100        0.00306        0.00321        1.100        1.100        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.92        0.06        0.99        0.061        0.012       10.00        2.31       11.00        3.00         4        2.94        3.16        3.31        0.00        0.00        0.941        6.9849        1.20        0.55        0.4        0.0        0.000        0.00        0.00        1.13        0.40        0.4        2.49        2.55       -1.42        1.78
1.187559        0.00310        1.000        0.00292        0.00325        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        8.02        0.06        0.99        0.056        0.011        9.00        2.23       10.00        3.33         4        2.97        3.16        3.39        0.00        0.00        0.946        6.4751        1.22        0.57        0.5        0.0        0.000        0.00        0.00        1.13        0.42        0.4        2.46        2.13       -1.41        1.66
1.187559        0.00760        1.200        0.00696        0.00759        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        6.24        0.09        0.99        0.105        0.017       11.00        1.74       12.00        2.73         3        2.82        3.06        3.48        0.00        0.00        0.935        4.5889        1.18        0.97        0.3        0.0        0.000        0.00        0.00        1.12        0.41        0.4        2.71        1.64       -0.60        1.47
1.187559        0.00310        1.200        0.00288        0.00331        1.200        1.200        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        9.84        0.06        0.99        0.066        0.013       11.00        2.07       12.00        2.73         4        2.90        3.15        3.22        0.00        0.00        0.936        7.4590        1.19        0.52        0.4        0.0        0.000        0.00        0.00        1.12        0.38        0.4        2.57        2.99       -1.51        1.91
1.187559        0.00770        1.500        0.00737        0.00778        1.500        1.500        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.87        0.09        0.99        0.132        0.020       14.00        1.22       15.00        2.14         3        2.77        3.05        3.17        0.00        0.00        0.920        5.1998        1.11        0.88        0.2        0.0        0.000        0.00        0.00        1.10        0.36        0.4        2.99        2.63       -0.50        1.76
1.187559        0.00750        1.000        0.00746        0.00830        1.000        1.000        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        5.15        0.09        0.99        0.086        0.015        9.00        1.83       10.00        3.33         3        2.85        3.06        3.54        0.00        0.00        0.945        4.0403        1.21        0.99        0.4        0.0        0.000        0.00        0.00        1.13        0.45        0.4        2.62        1.26       -0.71        1.37
1.187559        0.00790        1.500        0.00788        0.00843        1.500        1.500        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.76        0.09        0.99        0.134        0.021       14.00        1.24       15.00        2.14         3        2.80        3.06        3.19        0.00        0.00        0.920        5.1189        1.11        0.89        0.3        0.0        0.000        0.00        0.00        1.10        0.37        0.4        3.02        2.53       -0.68        1.74
1.187559        0.00780        1.400        0.00762        0.00829        1.400        1.400        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        7.28        0.09        0.99        0.124        0.020       13.00        1.44       14.00        2.31         3        2.80        3.06        3.23        0.00        0.00        0.925        4.9934        1.14        0.92        0.3        0.0        0.000        0.00        0.00        1.11        0.38        0.4        2.89        2.31       -0.69        1.67
