xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.006391        0.32400        5.255        0.285865        0.326907        4.891        5.620        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.57        0.57        0.99        2.992        2.908      524.55     -122.54      525.55        0.57         0        0.69        0.98        1.38       71.87        1.03        0.97        0.0147       78.08      147.77      153.2        2.2        0.651        8.91        6.41     1543.59    38741.73  2307795.0        0.94        2.13       -1.14        1.01
0.006391        0.39480        4.943        0.354306        0.418229        4.775        5.111        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.89        0.63        0.99        3.106        2.923      493.30     -131.41      494.30        0.61         0        0.73        1.01        1.51       81.49        1.03        0.97        0.0124       77.95      147.58      152.6        1.4        0.539        8.87        7.23      767.77    22473.74   923426.7        0.93        1.96       -0.96        1.01
0.006391        0.40350        4.951        0.403465        0.470986        4.708        5.194        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.85        0.64        0.99        3.145        2.952      494.10     -135.00      495.10        0.61         0        0.72        1.00        1.44       82.78        1.02        0.97        0.0122       77.93      147.49      153.4        1.3        0.534        8.87        7.34      718.65    21585.73   850355.0        0.93        1.94       -0.94        1.01
0.006391        0.44750        4.734        0.434633        0.493598        4.437        5.031        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.49        0.67        0.99        3.167        2.918      472.40     -139.29      473.40        0.64         0        0.75        1.03        1.57       90.25        1.03        0.97        0.0111       77.88      147.47      152.5        1.4        0.547        8.87        8.00      541.01    18106.31   607745.8        0.93        1.85       -0.86        1.01
0.005222        0.44550        4.949        0.445541        0.515874        4.778        5.121        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.66        0.67        0.99        3.304        3.060      493.95     -143.69      494.95        0.61         0        0.72        0.99        1.45       95.12        1.02        0.96        0.0091       95.03      180.32      188.4        5.0        0.804        9.91        9.43     1504.74    71962.17  4248351.0        0.93        1.87       -0.86        1.01
0.005222        0.42430        4.879        0.403635        0.461112        4.535        5.222        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.70        0.65        0.99        3.178        2.958      486.85     -135.70      487.85        0.62         0        0.74        1.01        1.56       91.97        1.03        0.97        0.0095       95.10      180.64      186.5        5.3        0.814        9.91        9.12     1753.12    81065.35  5153333.0        0.93        1.90       -0.90        1.01
0.005222        0.40450        4.961        0.395047        0.441784        4.576        5.345        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        3.85        0.64        0.99        3.155        2.960      495.05     -133.21      496.05        0.61         0        0.73        1.00        1.53       88.43        1.03        0.97        0.0099       95.16      180.74      186.8        5.2        0.812        9.91        8.77     1995.83    86843.20  5843570.0        0.93        1.94       -0.94        1.01
0.005222        0.38090        5.061        0.375052        0.398483        4.941        5.180        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.05        0.62        0.99        3.123        2.960      505.05     -129.82      506.05        0.59         0        0.72        0.99        1.49       84.58        1.03        0.96        0.0105       95.22      180.83      187.0        5.7        0.823        9.92        8.39     2390.43    96537.71  7105226.0        0.93        1.99       -0.99        1.01
0.005222        0.35760        5.239        0.357597        0.404453        5.149        5.328        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.33        0.60        0.99        3.133        3.004      522.85     -128.05      523.85        0.57         0        0.70        0.97        1.36       80.89        1.02        0.96        0.0111       95.23      180.73      188.4        6.6        0.842        9.93        8.04     2918.32   110681.40  8820688.0        0.93        2.05       -1.05        1.01
0.005222        0.35100        5.191        0.340972        0.357932        4.953        5.430        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.33        0.59        0.99        3.076        2.954      518.15     -125.01      519.15        0.58         0        0.71        0.98        1.44       80.30        1.03        0.96        0.0112       95.25      180.87      187.2        7.7        0.859        9.93        7.98     3157.11   120029.30  9934939.0        0.94        2.06       -1.07        1.01
0.005222        0.34610        5.214        0.339221        0.379366        5.099        5.329        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.38        0.59        0.99        3.068        2.953      520.40     -125.59      521.40        0.58         0        0.70        0.98        1.43       79.65        1.03        0.96        0.0114       95.26      180.88      187.2        8.2        0.867        9.94        7.92     3320.62   125261.90 10616180.0        0.94        2.07       -1.08        1.01
0.005222        0.34220        5.303        0.342180        0.370165        5.114        5.492        0.01        1.0        1.0        1.0        0.0        -2.0       -2.0       -2.0       -2.0        4.48        0.58        0.99        3.102        2.996      529.30     -126.34      530.30        0.57         0        0.69        0.96        1.35       79.10        1.02        0.96        0.0115       95.25      180.77      188.4        8.9        0.875        9.94        7.87     3487.47   132044.30 11360810.0        0.94        2.09       -1.09        1.01
