xi              mu             p            mu_min          mu_max          p_min        p_max        ep          alpha_m    chi_m       Pm         alpha_t     ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*      kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
5.669610        0.09300        1.837        0.084635        0.094605        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.99        0.31        1.00        0.560        0.118      182.70       15.06      183.70        1.64         1        2.12        2.59        2.94        0.00        0.00        0.99       10.9920        1.08       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.05        0.0        0.99        1.51       -0.69        1.00
5.669610        0.08600        1.429        0.085979        0.096619        1.429        1.429        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.42        0.29        1.00        0.419        0.087      141.90       17.85      142.90        2.11         1        2.10        2.58        3.58        0.00        0.00        0.99        9.0009        1.08       -0.84        0.1        0.0        0.000        0.00        0.00        1.02        0.04        0.0        1.00        0.91       -0.53        0.98
5.669610        0.09210        1.633        0.090005        0.098235        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.67        0.30        1.00        0.495        0.104      162.30       16.68      163.30        1.85         1        2.12        2.60        3.17        0.00        0.00        0.99        9.9646        1.08       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.06        0.1        0.99        1.23       -0.61        0.99
5.669610        0.09050        2.041        0.086626        0.099150        2.041        2.041        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.37        0.30        1.00        0.614        0.130      203.10       13.00      204.10        1.48         1        2.10        2.63        2.77        0.00        0.00        0.99       12.0318        1.07       -0.86        0.1        0.0        0.000        0.00        0.00        1.04        0.04        0.0        0.98        1.82       -0.75        1.01
5.669610        0.09630        1.633        0.096319        0.109260        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.61        0.31        1.00        0.507        0.107      162.30       16.94      163.30        1.85         1        2.14        2.61        3.09        0.00        0.00        0.99        9.8306        1.08       -0.85        0.1        0.0        0.000        0.00        0.00        1.04        0.06        0.1        1.00        1.25       -0.67        1.00
5.669610        7.65970        0.408        6.832817        7.935311        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.77        0.99        1.129        0.590       39.80       20.98       40.80        7.54         0        1.67        2.83        3.34        0.00        0.00        0.98        1.0763        1.07       -0.86        0.1        0.0        0.000        0.00        0.00        1.04        0.06        0.1        0.96        0.86       -0.05        0.96
5.669610        8.04100        0.408        7.846819        8.235120        0.408        0.408        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        0.07        2.84        0.98        1.157        0.609       39.80       21.01       40.80        7.54         0        1.67        2.83        3.17        0.00        0.00        0.98        1.0559        1.07       -0.86        0.1        0.0        0.000        0.00        0.00        1.04        0.06        0.1        0.95        0.89       -0.05        0.96
4.445480        0.09910        1.837        0.099066        0.107075        1.837        1.837        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.90        0.31        1.00        0.578        0.125      182.70       20.70      183.70        1.64         1        2.16        2.61        3.06        0.00        0.00        0.99        8.6627        1.10       -0.80        0.2        0.0        0.000        0.00        0.00        1.05        0.06        0.1        1.00        1.34       -0.80        1.01
4.445480        0.09190        1.633        0.091003        0.094543        1.633        1.633        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        2.68        0.30        1.00        0.495        0.106      162.30       21.73      163.30        1.85         1        2.13        2.59        3.40        0.00        0.00        0.99        7.9884        1.10       -0.80        0.2        0.0        0.000        0.00        0.00        1.04        0.07        0.1        1.01        1.08       -0.67        0.99
4.445480        0.09290        2.245        0.084221        0.096833        2.245        2.245        0.01        1.0        1.0        1.0        2.0        -2.0       -2.0       -2.0       -2.0        3.66        0.30        1.00        0.684        0.148      223.50       16.39      224.50        1.34         1        2.11        2.59        2.78        0.00        0.00        0.99       10.3355        1.10       -0.81        0.2        0.0        0.000        0.00        0.00        1.05        0.05        0.0        1.00        1.90       -0.88        1.02
