xi              mu             p            mu_min         mu_max         p_min        p_max        ep          alpha_m    chi_m      Pm         alpha_t    ddmp       ddmt       ddmv       ddmb       q           alpha_v     delta       ms           msint        Lambda      Lambdaint   Rm          Ga          n         x_h         x_id        x_SM        x_A         x_FM        Omega*       kappa         lambda      E           sigma_SM   sigma_A    g_A          r_A         z_A         r_max       z_t         z_max      b           Br_Bz0_SM   Bphi_Bz0_SM Bz_Bz0_SM
0.047767        0.54810        2.035        0.52472        0.54811        1.908        2.220        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.74        0.85        1.506        0.212       19.35        5.27       20.35        1.55         1        2.75        2.88        5.28       19.44        1.28        0.770        0.0696        6.72       17.15        9.0        0.5        0.254        2.97        5.79        3.04        6.20        7.1        0.24        0.76       -0.40        1.18
0.043335        0.63440        2.261        0.62336        0.66751        2.256        2.595        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.12        0.80        0.82        1.801        0.262       21.61        5.21       22.61        1.39         1        2.81        2.92        4.37       18.80        1.29        0.735        0.0669        6.75       18.46        9.5        0.6        0.285        3.06        5.75        3.13        6.22        7.1        0.20        1.00       -0.39        1.26
0.043335        0.51230        1.940        0.45416        0.51229        1.885        1.982        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.72        0.86        1.388        0.194       18.40        5.53       19.40        1.63         1        2.73        2.87        6.53       21.36        1.29        0.783        0.0618        7.59       18.09       10.1        0.4        0.210        3.12        6.66        3.16        7.29        8.0        0.27        0.63       -0.41        1.14
0.039314        0.64670        2.276        0.58472        0.69495        2.243        2.310        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.831        0.270       21.77        5.23       22.77        1.38         1        2.82        2.93        4.38       18.48        1.29        0.731        0.0611        7.35       19.51       10.6        0.3        0.176        3.17        5.87        3.21        6.34        6.8        0.20        1.01       -0.40        1.26
0.039314        0.64390        2.270        0.53740        0.64392        2.211        2.545        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.821        0.268       21.70        5.32       22.70        1.38         1        2.82        2.93        4.47       18.74        1.30        0.733        0.0610        7.37       19.50       10.4        0.4        0.229        3.18        5.97        3.23        6.33        7.2        0.20        0.99       -0.40        1.26
0.039314        0.64300        2.266        0.58943        0.64299        2.238        2.434        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.80        0.82        1.817        0.267       21.66        5.34       22.66        1.38         1        2.82        2.93        4.48       18.28        1.30        0.733        0.0609        7.38       19.49       10.4        0.2        0.119        3.17        5.79        3.18        6.14        6.4        0.20        0.98       -0.40        1.25
0.039314        0.62390        2.210        0.53837        0.62393        1.901        2.284        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.79        0.83        1.746        0.254       21.10        5.45       22.10        1.42         1        2.81        2.92        4.66       18.68        1.29        0.741        0.0602        7.55       19.43       10.6        0.3        0.175        3.19        5.96        3.22        6.47        6.9        0.21        0.92       -0.40        1.23
0.035666        0.66070        2.302        0.57750        0.68401        2.252        2.654        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.81        0.82        1.871        0.278       22.02        5.66       23.02        1.36         1        2.84        2.94        4.40       18.99        1.29        0.726        0.0559        7.98       20.64       11.7        0.5        0.245        3.32        6.31        3.38        7.13        7.9        0.19        1.02       -0.40        1.26
0.035666        0.51750        1.949        0.46796        0.51752        1.893        2.259        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.11        0.72        0.86        1.402        0.196       18.49        6.09       19.49        1.62         1        2.75        2.87        6.83       22.57        1.30        0.782        0.0512        9.09       20.48       12.4        0.4        0.241        3.41        7.70        3.48        8.89        9.8        0.27        0.60       -0.42        1.13
0.029355        0.68500        2.350        0.62604        0.69590        2.295        2.736        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.10        0.83        0.81        1.945        0.294       22.50        5.83       23.50        1.33         1        2.86        2.95        4.44       19.34        1.30        0.717        0.0467        9.44       23.11       14.1        0.4        0.240        3.62        7.01        3.71        8.20        8.9        0.19        1.03       -0.41        1.27
0.026631        0.66140        2.265        0.62250        0.66144        2.154        2.412        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.81        0.82        1.842        0.275       21.65        6.53       22.65        1.39         1        2.86        2.94        4.82       20.66        1.31        0.729        0.0417       10.73       24.56       15.9        0.9        0.400        3.85        7.96        4.07       10.85       12.1        0.21        0.91       -0.42        1.23
0.026631        0.60810        2.144        0.57815        0.60809        2.141        2.304        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.78        0.83        1.672        0.243       20.44        6.32       21.44        1.47         1        2.82        2.91        5.34       21.52        1.31        0.749        0.0404       11.24       24.67       16.4        1.0        0.414        3.88        8.37        4.14       11.73       13.1        0.23        0.77       -0.43        1.19
0.026631        0.57410        2.062        0.48966        0.57406        1.897        2.113        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.76        0.84        1.563        0.224       19.62        6.42       20.62        1.53         1        2.80        2.90        5.91       21.62        1.31        0.762        0.0396       11.57       24.81       16.6        0.5        0.262        3.88        8.39        4.04       10.56       11.5        0.25        0.68       -0.43        1.16
0.024160        0.70490        2.383        0.69136        0.75339        2.223        2.406        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.84        0.80        2.001        0.306       22.83        6.75       23.83        1.31         1        2.89        2.96        4.49       20.97        1.31        0.710        0.0389       11.25       25.97       17.2        1.3        0.468        4.01        8.42        4.25       12.31       13.8        0.19        1.02       -0.42        1.27
0.024160        0.54570        2.013        0.49839        0.54566        1.965        2.099        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.10        0.74        0.85        1.487        0.210       19.13        6.98       20.13        1.57         1        2.79        2.88        6.72       23.76        1.32        0.771        0.0355       12.91       26.66       18.4        0.7        0.348        4.08        9.71        4.37       13.43       14.9        0.27        0.59       -0.44        1.13
0.021919        0.67090        2.284        0.57743        0.67092        2.223        2.429        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.82        0.81        1.871        0.281       21.84        6.81       22.84        1.37         1        2.87        2.94        4.95       21.43        1.32        0.725        0.0346       12.87       27.77       19.3        1.2        0.459        4.22        9.06        4.62       13.91       15.6        0.21        0.88       -0.43        1.22
0.021919        0.68580        2.202        0.68575        0.77732        1.996        2.408        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.03        0.83        0.81        1.823        0.279       21.02        6.93       22.02        1.43         1        2.90        2.95        4.60       20.80        1.24        0.730        0.0342       13.25       28.29       22.5        0.7        0.340        4.25        8.84        4.58       12.36       13.5        0.22        0.86       -0.44        1.23
0.021919        0.61400        2.142        0.53494        0.61400        1.982        2.283        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.09        0.78        0.83        1.678        0.245       20.42        7.03       21.42        1.47         1        2.84        2.92        5.57       22.99        1.31        0.748        0.0334       13.57       28.19       20.0        1.7        0.537        4.29        9.87        4.75       16.79       19.1        0.24        0.73       -0.44        1.18
0.019885        0.72620        2.430        0.68577        0.72888        2.361        2.545        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.85        0.79        2.071        0.322       23.30        7.18       24.30        1.29         1        2.91        2.97        4.53       20.28        1.32        0.701        0.0325       13.35       29.24       20.9        0.6        0.302        4.34        8.81        4.62       11.91       12.8        0.19        1.03       -0.42        1.27
0.018040        0.66320        2.254        0.62495        0.66319        2.149        2.321        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.81        0.82        1.835        0.275       21.54        7.70       22.54        1.39         1        2.88        2.94        5.25       22.36        1.32        0.729        0.0283       15.74       31.84       23.8        1.4        0.507        4.65       10.42        5.38       18.62       21.2        0.22        0.80       -0.44        1.20
0.016366        0.66990        2.279        0.62502        0.66989        2.024        2.287        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.82        0.81        1.865        0.280       21.79        8.30       22.79        1.38         1        2.89        2.94        5.28       21.80        1.33        0.726        0.0259       17.15       33.97       26.0        0.8        0.396        4.84       10.55        5.55       17.46       19.2        0.22        0.80       -0.44        1.20
0.014848        0.68020        2.292        0.63381        0.68017        2.165        2.504        0.10        1.0        1.0        1.0        7.0       -2.0       -2.0       -2.0       -2.0        1.08        0.82        0.81        1.890        0.286       21.92        8.53       22.92        1.37         1        2.90        2.95        5.32       21.49        1.33        0.723        0.0236       18.77       36.39       28.7        0.6        0.314        5.05       10.86        5.77       17.38       18.9        0.21        0.80       -0.44        1.20
